Tiempo,Ch1,Ch2
43.615,15.2,13.2
43.67,15.2,13.6
43.725,15.2,13.6
43.78,15.2,13.6
43.835,15.2,13.6
43.89,15.6,14.0
43.945,15.6,14.0
44.0,15.6,14.0
44.055,15.2,14.0
44.11,15.6,14.0
44.165,15.6,14.0
44.22,15.6,14.0
44.275,15.6,14.0
44.33,15.6,14.0
44.385,16.0,14.0
44.44,16.0,14.4
44.495,16.0,14.4
44.550000000000004,15.6,14.4
44.605000000000004,16.0,14.4
44.660000000000004,16.4,14.4
44.715,16.4,14.0
44.77,16.0,14.4
44.825,16.4,14.4
44.88,16.4,14.8
44.935,16.0,14.8
44.99,16.0,14.8
45.045,16.4,14.8
45.1,16.4,14.4
45.155,16.4,14.8
45.21,16.0,14.8
45.265,16.0,14.8
45.32,16.4,14.8
45.375,16.4,14.8
45.43,16.0,14.8
45.485,16.0,14.8
45.54,16.4,14.4
45.595,16.0,14.4
45.65,16.0,14.8
45.705,16.4,14.8
45.76,16.0,14.8
45.815,16.0,14.8
45.87,16.0,14.4
45.925000000000004,16.0,14.4
45.980000000000004,15.6,14.4
46.035000000000004,15.6,14.4
46.09,15.6,14.0
46.145,15.2,14.0
46.2,15.2,14.0
46.255,14.8,14.0
46.31,15.2,14.0
46.365,14.8,13.6
46.42,14.8,13.6
46.475,14.4,13.6
46.53,14.4,13.6
46.585,14.4,12.8
46.64,14.4,12.8
46.695,14.0,12.8
46.75,14.0,12.8
46.805,14.0,12.8
46.86,13.6,12.8
46.915,13.6,12.4
46.97,13.6,12.4
47.025,13.2,12.4
47.08,13.2,12.4
47.135,12.8,11.6
47.19,12.8,12.0
47.245,12.4,11.6
47.300000000000004,12.0,11.2
47.355000000000004,12.0,11.2
47.410000000000004,11.6,10.8
47.465,12.0,10.8
47.52,11.2,10.8
47.575,11.6,10.4
47.63,10.8,10.0
47.685,10.8,10.0
47.74,10.8,10.0
47.795,10.8,9.2
47.85,10.8,9.2
47.905,10.0,9.2
47.96,9.6,9.2
48.015,9.2,8.8
48.07,9.2,8.8
48.125,8.8,8.4
48.18,8.4,8.0
48.235,8.4,8.0
48.29,8.0,8.0
48.345,7.6,7.2
48.4,7.2,6.8
48.455,7.2,6.4
48.51,6.8,6.4
48.565,7.2,6.4
48.620000000000005,6.8,6.4
48.675000000000004,6.4,6.0
48.730000000000004,6.0,5.6
48.785000000000004,5.6,5.6
48.84,5.2,4.4
48.895,4.8,4.4
48.95,4.4,4.0
49.005,4.4,4.0
49.06,3.6,3.6
49.115,3.2,3.2
49.17,3.6,3.2
49.225,2.8,2.8
49.28,2.8,2.4
49.335,2.4,2.4
49.39,1.6,1.6
49.445,2.0,1.6
49.5,1.2,0.8
49.555,0.8,0.8
49.61,0.8,0.8
49.665,0.0,0.8
49.72,0.4,0.4
49.775,-0.4,0.0
49.83,-0.4,-0.4
49.885,-0.8,-0.8
49.94,-1.2,-1.2
49.995000000000005,-1.6,-1.2
50.050000000000004,-2.0,-1.2
50.105000000000004,-2.0,-1.2
50.160000000000004,-2.8,-1.2
50.215,-2.8,-1.2
50.27,-2.8,-1.2
50.325,-3.2,-1.2
50.38,-3.2,-1.2
50.435,-3.6,-1.2
50.49,-4.0,-1.2
50.545,-4.4,-1.2
50.6,-4.8,-1.2
50.655,-4.8,-1.2
50.71,-5.2,-1.2
50.765,-5.6,-1.2
50.82,-6.0,-1.2
50.875,-6.4,-1.2
50.93,-6.8,-1.2
50.985,-6.8,-1.2
51.04,-6.8,-1.2
51.095,-7.2,-1.2
51.15,-7.6,-1.2
51.205,-8.0,-0.8
51.26,-8.0,-1.2
51.315,-8.4,-1.2
51.370000000000005,-8.4,-1.2
51.425000000000004,-8.8,-1.2
51.480000000000004,-9.2,-1.2
51.535000000000004,-9.6,-1.2
51.59,-9.6,-1.2
51.645,-10.0,-1.2
51.7,-10.0,-1.2
51.755,-10.4,-1.2
51.81,-10.4,-1.2
51.865,-10.8,-1.2
51.92,-11.2,-1.2
51.975,-11.2,-1.2
52.03,-11.6,-1.2
52.085,-11.6,-1.2
52.14,-12.0,-1.2
52.195,-12.0,-1.2
52.25,-12.8,-1.2
52.305,-12.8,-1.2
52.36,-12.8,-1.2
52.415,-13.2,-1.2
52.47,-13.2,-1.2
52.525,-13.6,-1.2
52.58,-13.6,-1.2
52.635,-14.4,-1.2
52.69,-14.4,-1.2
52.745000000000005,-14.8,-1.2
52.800000000000004,-14.8,-1.2
52.855000000000004,-14.8,-1.2
52.910000000000004,-15.2,-1.2
52.965,-15.6,-1.2
53.02,-16.0,-1.2
53.075,-16.0,-1.2
53.13,-16.0,-1.2
53.185,-16.0,-1.2
53.24,-16.0,-1.2
53.295,-16.4,-1.2
53.35,-16.4,-1.2
53.405,-16.8,-1.2
53.46,-16.4,-1.2
53.515,-17.2,-1.2
53.57,-17.2,-1.2
53.625,-17.2,-1.2
53.68,-17.6,-1.2
53.735,-17.6,-1.2
53.79,-17.6,-1.2
53.845,-17.6,-1.2
53.9,-17.6,-1.2
53.955,-17.6,-1.2
54.01,-18.0,-1.2
54.065,-17.6,-1.2
54.120000000000005,-17.6,-1.2
54.175000000000004,-17.6,-1.2
54.230000000000004,-18.0,-1.2
54.285000000000004,-17.6,-1.2
54.34,-18.4,-1.2
54.395,-18.4,-1.2
54.45,-18.0,-1.2
54.505,-18.0,-1.2
54.56,-18.4,-1.2
54.615,-18.4,-1.2
54.67,-18.4,-1.2
54.725,-18.4,-1.2
54.78,-18.8,-1.2
54.835,-18.0,-1.2
54.89,-18.0,-1.2
